date,Rionegro.mean_pm25,Rionegro.mean_s,Rionegro.mean_t,id
9/18/2020 10:01:10.000000000 AM,9,40,25,Rionegro
9/18/2020 10:01:12.500000000 AM,,,,Rionegro
9/18/2020 10:01:15.000000000 AM,,,,Rionegro
9/18/2020 10:01:17.500000000 AM,,,,Rionegro
9/18/2020 10:01:20.000000000 AM,,,,Rionegro
9/18/2020 10:01:22.500000000 AM,,,,Rionegro
9/18/2020 10:01:25.000000000 AM,,,,Rionegro
9/18/2020 10:01:27.500000000 AM,9,40,25,Rionegro
9/18/2020 10:01:30.000000000 AM,,,,Rionegro
9/18/2020 10:01:32.500000000 AM,,,,Rionegro
9/18/2020 10:01:35.000000000 AM,,,,Rionegro
9/18/2020 10:01:37.500000000 AM,,,,Rionegro
9/18/2020 10:01:40.000000000 AM,8,41,25,Rionegro
9/18/2020 10:01:42.500000000 AM,,,,Rionegro
9/18/2020 10:01:45.000000000 AM,,,,Rionegro
9/18/2020 10:01:47.500000000 AM,,,,Rionegro
9/18/2020 10:01:50.000000000 AM,,,,Rionegro
9/18/2020 10:01:52.500000000 AM,,,,Rionegro
9/18/2020 10:01:55.000000000 AM,,,,Rionegro
9/18/2020 10:01:57.500000000 AM,9,41,25,Rionegro
9/18/2020 10:02:00.000000000 AM,,,,Rionegro
9/18/2020 10:02:02.500000000 AM,,,,Rionegro
9/18/2020 10:02:05.000000000 AM,,,,Rionegro
9/18/2020 10:02:07.500000000 AM,,,,Rionegro
9/18/2020 10:02:10.000000000 AM,8,40,26,Rionegro
9/18/2020 10:02:12.500000000 AM,,,,Rionegro
9/18/2020 10:02:15.000000000 AM,,,,Rionegro
9/18/2020 10:02:17.500000000 AM,,,,Rionegro
9/18/2020 10:02:20.000000000 AM,,,,Rionegro
9/18/2020 10:02:22.500000000 AM,,,,Rionegro
9/18/2020 10:02:25.000000000 AM,,,,Rionegro
9/18/2020 10:02:27.500000000 AM,9,41,25,Rionegro
9/18/2020 10:02:30.000000000 AM,,,,Rionegro
9/18/2020 10:02:32.500000000 AM,,,,Rionegro
9/18/2020 10:02:35.000000000 AM,,,,Rionegro
9/18/2020 10:02:37.500000000 AM,,,,Rionegro
9/18/2020 10:02:40.000000000 AM,10,40,25,Rionegro
9/18/2020 10:02:42.500000000 AM,,,,Rionegro
9/18/2020 10:02:45.000000000 AM,,,,Rionegro
9/18/2020 10:02:47.500000000 AM,,,,Rionegro
9/18/2020 10:02:50.000000000 AM,,,,Rionegro
9/18/2020 10:02:52.500000000 AM,,,,Rionegro
9/18/2020 10:02:55.000000000 AM,,,,Rionegro
9/18/2020 10:02:57.500000000 AM,9,41,25,Rionegro
9/18/2020 10:03:00.000000000 AM,,,,Rionegro
9/18/2020 10:03:02.500000000 AM,,,,Rionegro
9/18/2020 10:03:05.000000000 AM,,,,Rionegro
9/18/2020 10:03:07.500000000 AM,,,,Rionegro
9/18/2020 10:03:10.000000000 AM,9,41,25,Rionegro
9/18/2020 10:03:12.500000000 AM,,,,Rionegro
9/18/2020 10:03:15.000000000 AM,,,,Rionegro
9/18/2020 10:03:17.500000000 AM,,,,Rionegro
9/18/2020 10:03:20.000000000 AM,,,,Rionegro
9/18/2020 10:03:22.500000000 AM,,,,Rionegro
9/18/2020 10:03:25.000000000 AM,,,,Rionegro
9/18/2020 10:03:27.500000000 AM,9,42,25,Rionegro
9/18/2020 10:03:30.000000000 AM,,,,Rionegro
9/18/2020 10:03:32.500000000 AM,,,,Rionegro
9/18/2020 10:03:35.000000000 AM,,,,Rionegro
9/18/2020 10:03:37.500000000 AM,,,,Rionegro
9/18/2020 10:03:40.000000000 AM,9,41,25,Rionegro
9/18/2020 10:03:42.500000000 AM,,,,Rionegro
9/18/2020 10:03:45.000000000 AM,,,,Rionegro
9/18/2020 10:03:47.500000000 AM,,,,Rionegro
9/18/2020 10:03:50.000000000 AM,,,,Rionegro
9/18/2020 10:03:52.500000000 AM,,,,Rionegro
9/18/2020 10:03:55.000000000 AM,,,,Rionegro
9/18/2020 10:03:57.500000000 AM,10,41,25,Rionegro
9/18/2020 10:04:00.000000000 AM,,,,Rionegro
9/18/2020 10:04:02.500000000 AM,,,,Rionegro
9/18/2020 10:04:05.000000000 AM,,,,Rionegro
9/18/2020 10:04:07.500000000 AM,,,,Rionegro
9/18/2020 10:04:10.000000000 AM,8,41,25,Rionegro
9/18/2020 10:04:12.500000000 AM,,,,Rionegro
9/18/2020 10:04:15.000000000 AM,,,,Rionegro
9/18/2020 10:04:17.500000000 AM,,,,Rionegro
9/18/2020 10:04:20.000000000 AM,,,,Rionegro
9/18/2020 10:04:22.500000000 AM,,,,Rionegro
9/18/2020 10:04:25.000000000 AM,,,,Rionegro
9/18/2020 10:04:27.500000000 AM,8,40,25,Rionegro
9/18/2020 10:04:30.000000000 AM,,,,Rionegro
9/18/2020 10:04:32.500000000 AM,,,,Rionegro
9/18/2020 10:04:35.000000000 AM,,,,Rionegro
9/18/2020 10:04:37.500000000 AM,,,,Rionegro
9/18/2020 10:04:40.000000000 AM,9,41,25,Rionegro
9/18/2020 10:04:42.500000000 AM,,,,Rionegro
9/18/2020 10:04:45.000000000 AM,,,,Rionegro
9/18/2020 10:04:47.500000000 AM,,,,Rionegro
9/18/2020 10:04:50.000000000 AM,,,,Rionegro
9/18/2020 10:04:52.500000000 AM,,,,Rionegro
9/18/2020 10:04:55.000000000 AM,,,,Rionegro
9/18/2020 10:04:57.500000000 AM,9,40,25,Rionegro
9/18/2020 10:05:00.000000000 AM,,,,Rionegro
9/18/2020 10:05:02.500000000 AM,,,,Rionegro
9/18/2020 10:05:05.000000000 AM,,,,Rionegro
9/18/2020 10:05:07.500000000 AM,,,,Rionegro
9/18/2020 10:05:10.000000000 AM,9,40,25,Rionegro
9/18/2020 10:05:12.500000000 AM,,,,Rionegro
9/18/2020 10:05:15.000000000 AM,,,,Rionegro
9/18/2020 10:05:17.500000000 AM,,,,Rionegro
9/18/2020 10:05:20.000000000 AM,,,,Rionegro
9/18/2020 10:05:22.500000000 AM,,,,Rionegro
9/18/2020 10:05:25.000000000 AM,,,,Rionegro
9/18/2020 10:05:27.500000000 AM,9,40,26,Rionegro
9/18/2020 10:05:30.000000000 AM,,,,Rionegro
9/18/2020 10:05:32.500000000 AM,,,,Rionegro
9/18/2020 10:05:35.000000000 AM,,,,Rionegro
9/18/2020 10:05:37.500000000 AM,,,,Rionegro
9/18/2020 10:05:40.000000000 AM,10,40,25,Rionegro
9/18/2020 10:05:42.500000000 AM,,,,Rionegro
9/18/2020 10:05:45.000000000 AM,,,,Rionegro
9/18/2020 10:05:47.500000000 AM,,,,Rionegro
9/18/2020 10:05:50.000000000 AM,,,,Rionegro
9/18/2020 10:05:52.500000000 AM,,,,Rionegro
9/18/2020 10:05:55.000000000 AM,,,,Rionegro
9/18/2020 10:05:57.500000000 AM,10,40,24,Rionegro
9/18/2020 10:06:00.000000000 AM,,,,Rionegro
9/18/2020 10:06:02.500000000 AM,,,,Rionegro
9/18/2020 10:06:05.000000000 AM,,,,Rionegro
9/18/2020 10:06:07.500000000 AM,,,,Rionegro
9/18/2020 10:06:10.000000000 AM,9,40,25,Rionegro
9/18/2020 10:06:12.500000000 AM,,,,Rionegro
9/18/2020 10:06:15.000000000 AM,,,,Rionegro
9/18/2020 10:06:17.500000000 AM,,,,Rionegro
9/18/2020 10:06:20.000000000 AM,,,,Rionegro
9/18/2020 10:06:22.500000000 AM,,,,Rionegro
9/18/2020 10:06:25.000000000 AM,,,,Rionegro
9/18/2020 10:06:27.500000000 AM,9,40,25,Rionegro
9/18/2020 10:06:30.000000000 AM,,,,Rionegro
9/18/2020 10:06:32.500000000 AM,,,,Rionegro
9/18/2020 10:06:35.000000000 AM,,,,Rionegro
9/18/2020 10:06:37.500000000 AM,,,,Rionegro
9/18/2020 10:06:40.000000000 AM,8,40,25,Rionegro
9/18/2020 10:06:42.500000000 AM,,,,Rionegro
9/18/2020 10:06:45.000000000 AM,,,,Rionegro
9/18/2020 10:06:47.500000000 AM,,,,Rionegro
9/18/2020 10:06:50.000000000 AM,,,,Rionegro
9/18/2020 10:06:52.500000000 AM,,,,Rionegro
9/18/2020 10:06:55.000000000 AM,,,,Rionegro
9/18/2020 10:06:57.500000000 AM,8,40,25,Rionegro
